"Company Name","Business Name","Street Address",City,"State Abbreviation","Zip Code","Telephone Number","Line of Business",Latitude,Longitude,"Primary NAICS","Primary SIC","Sales Volume","Total Employees","Local Employees","Year Started"
"A TASTE OF FALL",,"4169 WEBER WAY",LEXINGTON,KY,405141107,8596933044,"EATING PLACE",37.977624,-84.568915,722511,58120000,119272,7,7,2018
"A&R RESTAURANT HOLDINGS, LLC",,"3535 NICHOLASVILLE RD STE 924",LEXINGTON,KY,405033777,,"EATING PLACE",37.988525,-84.527085,722511,58120112,0,0,1,
"ACE OF TASTE, LLC",,"567 OHIO ST",LEXINGTON,KY,405081546,,"EATING PLACE",38.050113,-84.482434,722511,58120000,65812,1,1,2023
"AFRICA & CARIBBEAN CUISINE LLC",,"1315 WINCHESTER RD STE 349",LEXINGTON,KY,405054146,8592129569,"EATING PLACE",38.044593,-84.45708,722511,58120500,127131,5,5,2021
"AFRICA & CARIVEEAN CUISINE, LLC",,"1689 WHARTON WAY",LEXINGTON,KY,405098312,,"EATING PLACE",38.01879,-84.39376,722511,58120000,276714,1,1,
"AIRPORT FOOD MARKET",,"5584 VERSAILLES RD",LEXINGTON,KY,405109746,8592250902,"RET GROCERIES GASOLINE SERVICE STATION EATING PLACE",38.040917,-84.643168,445110,54119905,80994,5,5,1993
"AKEMI'S JAPANESE FOODS, LLC",,"115 CODELL DR",LEXINGTON,KY,405091182,,"EATING PLACE",38.01169,-84.451633,722511,58120109,143261,5,5,2017
"ALLEY ON MAIN PAINTSVILLE, L.L.C.",,"401 W MAIN ST STE 203",LEXINGTON,KY,405071630,,"EATING PLACE",38.049509,-84.500222,722511,58120101,131587,1,1,2021
"AMANDA'S KITCHEN LLC",,"1474 ANNISTON DR STE A1",LEXINGTON,KY,405052400,,"EATING PLACE",38.056329,-84.438924,722511,58120000,63220,1,1,2022
"AMBAKITI MEXICAN CUISINE, LLC",,"1511 ROANOKE RD",LEXINGTON,KY,405042115,,"EATING PLACE",38.045379,-84.549798,722511,58120112,259779,1,1,2024
"AMIGO RESTAURANTS, INC.",AMIGOSDOS,"1445 VILLAGE DR",LEXINGTON,KY,405041614,8593120245,"EATING PLACE",38.047981,-84.549568,722511,58120112,144279,2,2,1998
"ANNIE'S ANSWER, INC.",,"633 MAXWELTON CT UNIT 1",LEXINGTON,KY,405083438,,"EATING PLACE",38.036759,-84.510431,722511,58120000,63702,3,3,2015
"ANTOJITOS MEXICANOS MARY LLC",,"2100 GARDEN SPRINGS DR APT A",LEXINGTON,KY,405043402,,"EATING PLACE",38.02496,-84.5456,722511,58120112,277925,2,2,2024
"APPLEBEES NEIGHBORHOOD GRILL AND BAR",,"1856 ALYSHEBA WAY",LEXINGTON,KY,405092208,8592632546,"EATING PLACE",38.019495,-84.418009,722511,58120501,76729,1,1,2018
"ARCHA 9",,"162 OLD TODDS RD",LEXINGTON,KY,405091336,,"EATING PLACE",38.010174,-84.452645,722511,58120115,333352,2,2,2018
"ARELLANO-HERNANDEZ RESTAURANTS, INC.",,"677 DARTMOOR DR",LEXINGTON,KY,405052730,,"EATING PLACE",38.052311,-84.453783,722511,58120000,55599,6,6,2015
"ARIRANG KOREAN RESTAURANT, INC",,"109 MOUNT TABOR RD",LEXINGTON,KY,405174322,8592698273,RESTAURANT,38.005143,-84.451766,722511,58120110,128392,4,4,1994
"ARTLAB KENTUCKY",,"438 BARKLEY DR",LEXINGTON,KY,405031849,8596213603,"EATING PLACE",38.015569,-84.531208,722511,58120000,55991,1,1,2015
"ARURANG GARDEN",,"1348 COPPER RUN BLVD",LEXINGTON,KY,405142218,8592698273,"EATING PLACE",37.982898,-84.571693,722511,58120103,35636,1,1,2012
"ASIAN BISTRO 4224 INC",,"4224 SARON DR",LEXINGTON,KY,405156300,,"EATING PLACE",37.967419,-84.500799,722511,58120103,65112,1,1,2018
"ASIAN BISTRO EXPRESS",,"4224 SARON DR",LEXINGTON,KY,405156300,8592458888,"EATING PLACE",37.967419,-84.500799,722511,58120103,166328,1,1,2015
"ASIAN BISTRO J2C INC.",,"561 S BROADWAY STE 140",LEXINGTON,KY,405082943,8593038330,"EATING PLACE",38.04445,-84.507246,722511,58120000,513731,1,1,2023
"ASIAN CAFE",,"4608 BRAXTON CT",LEXINGTON,KY,405156294,8592711288,"EATING PLACE",37.949001,-84.496299,722511,58120103,67899,4,4,2007
"ASIAN FOOD & GROCERIES 2 INC",,"3816 CAYMAN LN",LEXINGTON,KY,405099593,,"EATING PLACE",38.01996,-84.37445,722511,58120100,277925,1,1,2024
"ASIAN WIND",,"3735 PALOMAR CENTRE DR STE 40",LEXINGTON,KY,405131169,8592230060,"EATING PLACE",38.004882,-84.572513,722511,58120103,133634,2,2,1994
"ASUKA JAPANESE STEAKHOUSE",,"2300 SIR BARTON WAY",LEXINGTON,KY,405092290,8595430010,"EATING PLACE",38.02268,-84.421556,722511,58120109,100416,4,4,2017
"ATHENIAN HOUSE CATERING LLC","ATHENIAN GRILL","313 S ASHLAND AVE",LEXINGTON,KY,405021729,8593035048,"EATING PLACE",38.031308,-84.49104,722511,58120106,130108,9,9,2012
"ATOMIC RAMEN LLC",,"140 SUBURBAN CT",LEXINGTON,KY,405031306,3475175876,"EATING PLACE",38.018828,-84.518012,722511,58120109,208062,1,1,2017
"AUNTY KATE'S KITCHEN LLC",,"4390 CLEARWATER WAY APT 903",LEXINGTON,KY,405156374,,"EATING PLACE",37.9624,-84.49693,722511,58120000,259779,1,1,2025
"AZUR RESTAURANT & PATIO LLC",,"1050 MONARCH ST STE 100",LEXINGTON,KY,405131819,,"EATING PLACE",38.020883,-84.554118,722511,58120000,277925,1,1,2025
"B&B HOLDING LLC","TACO JOHN'S","1808 PASCOLI CV",LEXINGTON,KY,405094619,,"EATING PLACE",38.032451,-84.427867,722511,58120112,143762,2,1,2021
"BA'S KITCHEN LLC",,"2146 LIBERTY RD",LEXINGTON,KY,405094322,,"EATING PLACE",38.028367,-84.449723,722511,58120000,178413,5,5,2019
"BABALU LEXINGTON 1 LLC",,"4040 FINN WAY STE 150",LEXINGTON,KY,405178371,,"EATING PLACE",37.978246,-84.527481,722511,58120101,238723,7,7,2017
"BANDARI YA POMBE LLC",,"4112 RESERVE RD APT 205",LEXINGTON,KY,405144072,,"EATING PLACE",37.99913,-84.57779,722511,58120109,65302,1,1,2021
"BANDIDO TAQUERIA",,"535 S UPPER ST",LEXINGTON,KY,405082946,8593179721,"EATING PLACE",38.042776,-84.504552,722511,58120112,218837,4,4,2020
"BANGKOK HOUSE, INC.",,"275 AVENUE OF CHAMPIONS",LEXINGTON,KY,405083089,8592269711,"EATING PLACE",38.038036,-84.499768,722511,58120115,239381,5,5,1995
"BARFIELD BROTHERS, INC.",,"917 ALBANY CIR",LEXINGTON,KY,405022963,8592660143,"EATING PLACE",38.003127,-84.493782,722511,58129902,66350,2,2,2008
"BARN 4 SPORTS, LLC",,"4118 WINNIPEG WAY",LEXINGTON,KY,405154632,,"EATING PLACE DRINKING PLACE",37.969256,-84.524085,722511,58120000,64643,1,1,2022
"BAZAAR EATERY, LLC",,"364 MERINO ST APT 4",LEXINGTON,KY,405082689,,"EATING PLACE",38.048617,-84.506499,722511,58120000,73898,1,1,2020
"BDS MONGOLIAN GRILL",,"2309 SIR BARTON WAY",LEXINGTON,KY,405092257,8592640686,"EATING PLACE",38.022371,-84.422719,722511,58120103,445853,1,1,2006
"BEAUMONT POOLSIDE CAFE LLC",,"450 OLD VINE ST STE 300",LEXINGTON,KY,405071544,8597974577,"EATING PLACE",38.038884,-84.49104,722511,58129902,94614,1,1,2016
"BEEF O BRADYS",,"1237 WYNDHAM FOREST CIR",LEXINGTON,KY,405141146,5022263666,"EATING PLACE",37.978552,-84.569019,722511,58120802,236868,11,11,2007
"BEHR ENTERPRISES, INC.","BEAR & THE BUTCHER","815 EUCLID AVE",LEXINGTON,KY,405021741,8594699188,"EATING PLACE",38.030154,-84.490585,722511,58120101,301070,11,11,2017
"BELLA CAFE' AND GRILLE 2, LLC",,"851 CORPORATE DR",LEXINGTON,KY,405035428,,"EATING PLACE",38.01162,-84.55276,722511,58129902,291373,1,1,2023
"BELLA CAFE' AND GRILLE, LLC",,"851 CORPORATE DR",LEXINGTON,KY,405035428,8593890885,"EATING PLACE",38.01162,-84.55276,722511,58129902,1140928,7,7,2023
"BELLA NOTTE INC",,"3715 NICHOLASVILLE RD",LEXINGTON,KY,405034441,8592451789,"DRINKING PLACE EATING PLACE",37.98251,-84.528318,722410,58130000,991977,16,16,1996
"BENNIGAN'S OF LEXINGTON KENTUCKY",,"5532 ATHENS BOONESBORO RD",LEXINGTON,KY,405099491,,"EATING PLACE",37.959672,-84.386844,722511,58120501,134442,1,1,2017
"BETY'S MEXICAN RESTAURANT, LLC",,"160 ROBIN RD",GEORGETOWN,KY,403249313,,"EATING PLACE",38.16265,-84.54497,722511,58120000,277925,1,1,2025
"BHG CHATTANOOGA 1, LLC",,"866 MALABU DR",LEXINGTON,KY,405023404,,"EATING PLACE",37.992093,-84.495848,722511,58120101,185342,2,2,2018
"BHG PALOMAR, LLC","MALONES PALOMAR","3735 PALOMAR CENTRE DR",LEXINGTON,KY,405131147,8592230889,"EATING PLACE",38.00386,-84.57033,722511,58120802,0,0,50,
"BHG PALOMAR, LLC",MALONES,"866 MALABU DR STE 250",LEXINGTON,KY,405023404,8592230889,"EATING PLACE",37.992129,-84.495916,722511,58120101,1198758,54,4,2007
"BIG KAHUNA LLC",,"904 LIBERTY RD",LEXINGTON,KY,405053937,8593179179,"EATING PLACE",38.041413,-84.469959,722511,58120500,476341,1,1,2021
"BILLY'S BAR-B-Q INC",,"333 MELBOURNE WAY",LEXINGTON,KY,405023201,8592699593,"EATING PLACE",38.000987,-84.505822,722511,58120801,249295,3,3,1978
"BJ'S RESTAURANTS, INC.",,"3297 NICHOLASVILLE RD",LEXINGTON,KY,405033376,8592782887,"EATING PLACE",37.991031,-84.524619,722511,58120500,0,0,155,
"BJS CORPORATION","MESA VERDE","271 W SHORT ST STE 700",LEXINGTON,KY,405071215,8592556676,RESTAURANT,38.048682,-84.497815,722511,58120112,65106,3,3,1993
"BLACK IN THE BLUEGRASS LLC",,"207 E FIFTH ST",LEXINGTON,KY,405081511,,"EATING PLACE",38.050872,-84.48636,722511,58120101,84895,1,1,2021
"BLACK SHEEP LLC","BLUE DOOR SMOKEHOUSE","226 WALTON AVE",LEXINGTON,KY,405021453,,"EATING PLACE",38.040089,-84.481081,722511,58120000,334490,10,10,2014
"BLEDSOE BLEND INTERNATIONAL GOURMET COFF",,"2900 RICHMOND RD STE 130-357",LEXINGTON,KY,405091713,8596129172,"EATING PLACE",38.0056,-84.4517,722511,58120000,62449,4,4,2015
"BLONDE AMBITION LLC",,"175 EASTOVER DR",LEXINGTON,KY,405022506,,"EATING PLACE",38.021599,-84.490809,722511,58120000,74499,1,1,2021
"BLOOM KITCHEN, L.L.C.",,"3956 LAUREN WAY",LEXINGTON,KY,405171644,,"EATING PLACE",37.972288,-84.512158,722511,58120000,57947,1,1,2017
"BLOOMIN BRANDS",,"1881 PLAUDIT PL",LEXINGTON,KY,405092429,,"EATING PLACE",38.018025,-84.41755,722511,58120802,79479,1,1,2019
"BLUE AGAVE GRILL BY NATHANS TAQUERIA LLC",,"2548 LANGSTANE LN",LEXINGTON,KY,405119132,,"EATING PLACE",38.105764,-84.508566,722511,58120112,65812,2,2,2023
"BLUE REEF LLC",,"4501 WINDSTAR WAY",LEXINGTON,KY,405154818,2703399740,"EATING PLACE",37.956858,-84.512642,722511,58120114,193661,6,6,2014
"BLUEGRASS BITES LLC",,"5800 OLD RICHMOND RD",LEXINGTON,KY,405158311,,"EATING PLACE",37.941365,-84.409899,722511,58120000,74499,1,1,2021
"BLUEGRASS FW, LLC","FIRST WATCH","2894 RICHMOND RD",LEXINGTON,KY,405091505,8598993447,"EATING PLACE",38.006799,-84.452551,722511,58120501,540791,26,26,2011
"BLUEGRASS HOSPITALITY GROUP, LLC",,"866 MALABU DR # 250",LEXINGTON,KY,405023404,8593356500,"EATING PLACE",37.992129,-84.495916,722511,58120800,2187256,188,188,2001
"BLUEGRASS HOSPITALITY, LLC",,"1920 PLEASANT RIDGE DR",LEXINGTON,KY,405092412,8598999597,"EATING PLACE",38.017457,-84.41408,722511,58120502,0,0,18,
"BO&WEI, LTD. CO.","ZEN SUSHI & SAKE BAR","332 PARK AVE",LEXINGTON,KY,405021744,8595958568,"EATING PLACE",38.033292,-84.492326,722511,58120103,148734,6,6,2014
"BOB EVANS RESTAURANTS, LLC","BOB EVANS","2566 RICHMOND RD",LEXINGTON,KY,405091527,8592691003,"EATING PLACE",38.01083,-84.457445,722511,58120501,0,0,61,
"BOILING KITCHEN LLC SUSHI N THAI CUISINE",,"115 N LOCUST HILL DR STE 105",LEXINGTON,KY,405091519,,"EATING PLACE",38.004196,-84.446865,722511,58120114,66697,1,1,2019
"BONE DADDY'S VOODOO CAJUN BUS, LLC",,"625 W MAIN ST APT 102",LEXINGTON,KY,405082062,,"EATING PLACE",38.052529,-84.503652,722511,58120000,48974,4,4,2016
"BOONE DOGS LIMITED LIABILITY COMPANY",,"1451 WALNUT HILL RD",LEXINGTON,KY,405159508,2177227704,"EATING PLACE",37.94775,-84.435503,722511,58120000,493020,13,13,2019
"BOURBON BARREL BARBECUE LLC",,"243 PEPPER DR",LEXINGTON,KY,405112072,,"EATING PLACE",38.068035,-84.520834,722511,58120801,277925,1,1,2024
"BOURBON CITY EVENTS LLLP",,"2220 POKEBERRY PARK",LEXINGTON,KY,405098641,,"EATING PLACE",38.015328,-84.399624,722511,58120000,98602,1,1,2019
"BOURBON COUNTRY OUTFITTERS LIMITED LIABILITY COMPANY",,"831 SPRING MEADOWS DR",LEXINGTON,KY,405043623,,"EATING PLACE",38.030292,-84.536089,722511,58120000,74243,3,3,2021
"BOURBON LIVE LLC",,"903 MANCHESTER ST STE 110",LEXINGTON,KY,405082487,,"EATING PLACE",38.053237,-84.509549,722511,58120000,63220,2,2,2022
"BOURBON ON BROADWAY, LLC","BOURBON AND TOULOUSE","1080 S BROADWAY STE 107",LEXINGTON,KY,405044108,,"EATING PLACE",38.036575,-84.5168,722511,58120500,63220,3,3,2022
BRASABANA,,"841 LANE ALLEN RD",LEXINGTON,KY,405043605,8593035573,"EATING PLACE",38.030419,-84.540474,722511,58120500,201799,5,5,2013
"BRISTOL CAFE AND MARKET, INC",,"4448 RIVER RIDGE RD",LEXINGTON,KY,405156084,,"EATING PLACE",37.961298,-84.514289,722511,58129902,58576,6,6,2017
"BRONTE BISTRO (LEXINGTON)",,"161 LEXINGTON GREEN CIR STE B1",LEXINGTON,KY,405033800,8594221429,"EATING PLACE",37.994667,-84.524421,722511,58120000,86529,6,6,2019
"BROOKE'S PERSONAL CHEF SERVICES LLC",,"3036 MAJESTIC VIEW WALK",LEXINGTON,KY,405118881,8593090872,"EATING PLACE",38.10566,-84.540065,722511,58120000,68964,4,4,2013
"BROOMWAGON LLC",,"800 N LIMESTONE",LEXINGTON,KY,405053521,8595546938,"EATING PLACE",38.057311,-84.481358,722511,58129902,261838,6,6,2015
"BROTHERS TWO LLC","PARKETTE DRIVE IN","5120 IVYBRIDGE DR",LEXINGTON,KY,405151196,8592548723,"EATING PLACE BUSINESS SERVICES AT NON-COMMERCIAL SITE",37.946109,-84.490809,722511,58120101,57100,2,2,2008
"BRUNCH IN THE BLUEGRASS LLC",,"2441 LA CROSS CT",LEXINGTON,KY,405141480,,"EATING PLACE",37.991137,-84.586334,722511,58120000,79654,4,4,2019
"BUCKEYE PASTA OF AKRON LLC",,"811 CORPORATE DR STE 303",LEXINGTON,KY,405035410,8592235353,RESTAURANT,38.011595,-84.551228,722511,58120108,220194,50,50,1999
"BUFF PIG BBQ, LLC",,"4164 NEEDLERUSH DR",LEXINGTON,KY,405099081,,"EATING PLACE",37.981381,-84.397693,722511,58120801,65812,1,1,2023
"C&J SMOKED BBQ, LLC",,"911 MARCELLUS DR",LEXINGTON,KY,405053349,,"EATING PLACE",38.05242,-84.46845,722511,58120801,277925,1,1,2024
"CABANA CAFE",,"261 RUCCIO WAY",LEXINGTON,KY,405033662,,"EATING PLACE",37.99771,-84.529738,722511,58129902,117883,6,6,2005
"CACHE LEMONADE L.L.C.","CACHE LOVELY LEMONADE","1333 CENTRE PKWY APT 56C",LEXINGTON,KY,40517,,"EATING PLACES",37.98193,-84.47706,722511,58120000,259779,1,1,2025
"CAFE EMPORIO BY BUSALACCHI LLC",,"4436 LOGANS FORT LN",LEXINGTON,KY,405098552,,"EATING PLACE",37.978105,-84.413862,722511,58129902,80158,1,1,2022
"CAFE GELATO, LLC",,"838 SPYGLASS LN",LEXINGTON,KY,405092101,,"EATING PLACE",37.995009,-84.403743,722511,58129902,70040,4,4,2019
"CAFE ON THE PARK",,"369 W VINE ST",LEXINGTON,KY,405071834,8592813773,"EATING PLACES",38.048366,-84.500186,722511,58129902,213918,8,8,1995
"CAIYE LLC","ZEN SUSHI AND SAKE","103 W MAXWELL ST",LEXINGTON,KY,405082503,,"EATING PLACE",38.043582,-84.501364,722511,58120114,119288,1,1,2021
"CALDO HOT-BROTH, LLC LLC",,"309 N ASHLAND AVE",LEXINGTON,KY,405021473,8595232665,"EATING PLACE",38.039331,-84.478852,722511,58129902,95920,5,5,2015
"CAMPESTRE MEXICAN BAR AND GRILL",,"910 BEAUMONT CENTRE PKWY",LEXINGTON,KY,405131700,8593687779,"EATING PLACE",38.013912,-84.55615,722511,58120112,95967,1,1,2019
"CANOPY CREW VI LIMITED LIABILITY COMPANY",,"2640 SANDERSVILLE RD",LEXINGTON,KY,405118848,,"EATING PLACE",38.087921,-84.537808,722511,58120501,130485,1,1,2019
"CANOPY YOUNG ADULT COMMUNITY HOUSE, INC.",,"540 W THIRD ST",LEXINGTON,KY,405081241,,"EATING PLACE",38.056174,-84.500316,722511,58120501,281396,6,6,2019
"CARIBBEAN AFRICAN CUISINE LLC",,"1315 WINCHESTER RD STE 349",LEXINGTON,KY,405054146,,"EATING PLACE",38.044593,-84.45708,722511,58120100,259779,1,1,2024
"CARLA GOVER","CORNBREAD & TORTILLAS","232 DERBY DR",LEXINGTON,KY,405032305,8593586090,"EATING PLACE",38.008668,-84.523607,722511,58120112,232834,11,11,2017
"CARRABBA'S ITALIAN GRILL, INC.",CARRABBA'S,"1881 PLAUDIT PL",LEXINGTON,KY,405092429,8592648395,"ITALIAN RESTAURANT",38.018025,-84.41755,722511,58120108,0,0,56,
"CHARLIE W JOHNSON","CHARLIE'S FRESH SEAFOOD MARKET","928 WINCHESTER RD",LEXINGTON,KY,405053948,8592556005,"OPERATES AS A CARRY-OUT RESTAURANT AND RETAILS SEAFOOD",38.041593,-84.469134,722511,58120702,138859,8,8,1981
"CHEDDAR'S CASUAL CAFE MAN-O-WAR",,"3094 HELMSDALE PL",LEXINGTON,KY,405092212,8595431161,"EATING PLACE",38.010223,-84.421719,722511,58129902,226930,9,9,2007
"CHEDDAR'S CASUAL CAFE, INC.","CHEDDAR'S SCRATCH KITCHEN","3604 WALDEN DR",LEXINGTON,KY,405172019,8592720891,"EATING PLACE",37.982368,-84.496059,722511,58120101,0,0,22,
"CHEF DADDY, LLC",,"2637 ROLLING RDG",LEXINGTON,KY,405118868,,"EATING PLACE",38.078668,-84.553136,722511,58120000,63220,1,1,2023
"CHEF DOUG'S GOURMET FOODS LLC",,"1039 INDUSTRY RD",LEXINGTON,KY,405053805,8595851464,"EATING PLACE",38.043959,-84.460901,722511,58120000,142656,5,5,2014
"CHEF LI'S PRIVATE KITCHEN LLC",,"2096 SPRING STATION DR",LEXINGTON,KY,405052061,,"EATING PLACE",38.066897,-84.449517,722511,58120000,81354,3,3,2021
"CHEN OSAKA, INC.",OSAKA,"3805 DYLAN PL STE 130",LEXINGTON,KY,405141097,6463317486,"EATING PLACE",37.981236,-84.551258,722511,58120109,175149,1,1,2019
"CHEN, INC.","PHO BC","171 W LOWRY LN STE 176",LEXINGTON,KY,405033006,8592760557,"EATING PLACE",38.00676,-84.520258,722511,58120500,328112,24,24,2007
"CHENG'S CHINESE RESTAURANT",,"3101 CLAYS MILL RD",LEXINGTON,KY,405032772,8592239212,"EATING PLACE",38.00276,-84.545927,722511,58120103,159802,4,4,1998
"CHES. MEXICAN FOOD",,"911 WINCHESTER RD",LEXINGTON,KY,405053947,,"EATING PLACE",38.042035,-84.471198,722511,58120112,114469,1,1,2018
"CHILI'S, INC.",CHILI'S,"2851 RICHMOND RD",LEXINGTON,KY,405091506,8592691979,"EATING PLACE DRINKING PLACE",38.008518,-84.452414,722511,58120501,0,0,7,
"CHILI'S, INC.",CHILI'S,"108 MARKETPLACE DR",LEXINGTON,KY,405034414,8599719392,"EATING PLACE DRINKING PLACE",37.976987,-84.530471,722511,58120501,0,0,7,
"CHINA GROVE GARDENS, LLC",,"329 KINGSWAY DR",LEXINGTON,KY,405021045,,"EATING PLACE",38.030638,-84.471983,722511,58120000,81715,1,1,2019
"CHINA HUT, INC.",,"820 LANE ALLEN RD",LEXINGTON,KY,405043615,8592755888,"EATING PLACE",38.028674,-84.540839,722511,58120103,198038,6,6,2005
"CHINA KING",,"1485 ALEXANDRIA DR",LEXINGTON,KY,405041610,8592522449,"EATING PLACE",38.047628,-84.552502,722511,58120103,130917,3,3,1999
"CHINA KING LEXINGTON LLC",,"1497 ALEXANDRIA DR",LEXINGTON,KY,405041610,,"EATING PLACE",38.047465,-84.552391,722511,58120103,63246,1,1,2022
"CHINA KING RESTAURANT",,"1650 BRYAN STATION RD STE 132",LEXINGTON,KY,405052139,8592947707,"EATING PLACE",38.059356,-84.461362,722511,58120103,236760,6,6,2002
"CHINA KITCHEN",,"219 PATCHEN DR APT 1001",LEXINGTON,KY,405174444,8592698888,"EATING PLACE",38.006287,-84.456898,722511,58120103,214455,6,6,2007
"CHINA STAR",,"196 N MARTIN LUTHER KING BLVD",LEXINGTON,KY,405071531,8592589040,"EATING PLACE",38.047035,-84.49204,722511,58120103,90768,5,5,2006
"CHINOE PUB AND RESTAURANT",,"1050 CHINOE RD",LEXINGTON,KY,405026571,8592690557,"PUB AND RESTAURANT",37.997188,-84.479368,722410,58130100,234922,8,8,1987
"CHIPOTLE MEXICAN GRILL, INC.","CHIPOTLE MEXICAN GRILL","1869 PLAUDIT PL STE 140",LEXINGTON,KY,405092433,8592632611,"EATING PLACE",38.017338,-84.418284,722511,58120112,0,0,8,
"CHIPOTLE MEXICAN GRILL, INC.","CHIPOTLE MEXICAN GRILL","345 S LIMESTONE",LEXINGTON,KY,405083054,8593896643,"EATING PLACE",38.04272,-84.502716,722511,58120112,0,0,7,
"CHIPOTLE MEXICAN GRILL, INC.",,"2270 NICHOLASVILLE RD 110",LEXINGTON,KY,405032418,8597858142,"EATING PLACE",38.0056,-84.5324,722511,58120112,0,0,7,
"CHIPOTLE MEXICAN GRILL, INC.",,"3565 NICHOLASVILLE RD STE 935",LEXINGTON,KY,405033699,8592880365,"EATING PLACE",37.987569,-84.527607,722511,58120112,0,0,7,
"CHIPOTLE MEXICAN GRILL, INC.",,"1584 LEESTOWN RD",LEXINGTON,KY,405112042,8593996803,"EATING PLACE",38.066415,-84.525515,722511,58120112,0,0,7,
"CHIPOTLE MEXICAN GRILL, INC.","CHIPOTLE MEXICAN GRILL","2905 RICHMOND RD",LEXINGTON,KY,405091714,8592681142,"EATING PLACE",38.005305,-84.449376,722511,58120112,0,0,7,
"CHUBU TRADING INC","TACHIBANA JAPANESE RESTAURANT","785 NEWTOWN CT",LEXINGTON,KY,405111252,8592541911,"JAPANESE RESTAURANT",38.076996,-84.491929,722511,58120109,0,0,2,
"CHUY'S OPCO, INC.",CHUY'S,"1856 ALYSHEBA WAY",LEXINGTON,KY,405092208,8595873300,"EATING PLACE",38.019495,-84.418009,722511,58120112,0,0,62,
"CHUY'S OPCO, INC.",CHUY'S,"3841 NICHOLASVILLE CENTRE DR",LEXINGTON,KY,405033343,8592452489,"EATING PLACE",37.982873,-84.529113,722511,58120112,0,0,1,
"CICES KITCHEN LLC",,"1610 ANNISTON DR",LEXINGTON,KY,405052503,,"EATING PLACES",38.05377,-84.4362,722511,58120000,277925,2,2,2024
"CINCO DE MAYO",,"122 W MAXWELL ST",LEXINGTON,KY,405082530,8593036488,"EATING PLACE",38.04392,-84.502064,722511,58120112,429385,25,25,2014
"CINCO DE MAYO MEXICAN RESTAURAN",,"3031 RICHMOND RD",LEXINGTON,KY,405091508,8592530253,"EATING PLACE",38.003287,-84.444951,722511,58120112,226680,10,10,2016
"CINCO DE MAYO OF LEXINGTON 2 INC",,"2410 GREATSTONE PT",LEXINGTON,KY,405043274,,"EATING PLACE",38.018931,-84.54942,722511,58120112,78235,5,5,2016
"CINCO DE MAYO OF LEXINGTON, INC.",,"2410 GREATSTONE PT",LEXINGTON,KY,405043274,,"EATING PLACE",38.018931,-84.54942,722511,58120112,78434,6,6,2013
"CITY BARBEQUE, LLC",,"3292 RICHMOND RD",LEXINGTON,KY,405091811,8599671908,"EATING PLACE",37.99965,-84.445438,722511,58120801,0,0,27,
"CITY BARBEQUE, LLC",,"2187 HARRODSBURG RD",LEXINGTON,KY,405043504,8596059113,"EATING PLACE",38.024666,-84.539775,722511,58120801,0,0,28,
"CLAMATO'S LLC",,"2304 VERSAILLES RD",LEXINGTON,KY,405041606,8592608925,"MEXICAN RESTAURANT",38.046265,-84.552841,722511,58120112,254796,15,15,2003
"COACH SHALASH'S KITCHEN LLC",,"1667 WHARTON WAY",LEXINGTON,KY,405098312,,"EATING PLACE",38.018443,-84.394388,722511,58120000,64643,1,1,2022
